accession_no	meta_path	exprmat_path	condition_colname	inf_keywords	control_keywords	file_name	signature
GSE148171	./data/metadata/metadata_GSE148171.tsv	./data/expression_matrices/GSE148171.tsv	title	Tuberculosis	Healthy	MTB_control	1
GSE157657	./data/metadata/metadata_GSE157657.tsv	./data/expression_matrices/GSE157657.tsv	subgroup.ch1	PTB Culture Positive	Control	PTB_control	1
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	ILC1_Mtb	ILC1_uninf	MTBilc1_control	0
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	ILC2_Mtb	ILC2_uninf	MTBilc2_control	0
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	ILC3neg_Mtb	ILC3neg_uninf	MTBilc3neg_control	0
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	ILC3pos_Mtb	ILC3pos_uninf	MTBilc3pos_control	0
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	NK_Mtb	NK_uninf	MTBnk_control	0
GSE112482	./data/metadata/metadata_GSE112482.tsv	./data/expression_matrices/GSE112482.tsv	title	susp_Mtb	susp_uninf	MTBsusp_control	0
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	AM_Mtb	AM_uninf	MTBam_control	1
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	endo_Mtb	endo_uninf	MTBendo_control	0
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	gd_Mtb	gd_uninf	MTBgd_control	0
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	MAIT_Mtb	MAIT_uninf	MTBmait_control	1
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	NK_Mtb	NK_uninf	MTBnk_control	0
GSE112483	./data/metadata/metadata_GSE112483.tsv	./data/expression_matrices/GSE112483.tsv	title	NKT_Mtb	NKT_uninf	MTBnkt_control	1
GSE84076	./data/metadata/metadata_GSE84076.tsv	./data/expression_matrices/GSE84076.tsv	characteristics_ch1	Active Tuberculosis	Control - BCG - Unvaccinated	MTB_control	0
GSE129270	./data/metadata/metadata_GSE129270.tsv	./data/expression_matrices/GSE129270.tsv	title	24h infected	24h uninfected	MTB24h_control	0
GSE129270	./data/metadata/metadata_GSE129270.tsv	./data/expression_matrices/GSE129270.tsv	title	72h infected	72h uninfected	MTB72h_control	1
GSE129270	./data/metadata/metadata_GSE129270.tsv	./data/expression_matrices/GSE129270.tsv	title	120h infected	120h uninfected	MTB120h_control	0
GSE198557	./data/metadata/metadata_GSE198557.tsv	./data/expression_matrices/GSE198557.tsv	title	Tuberculosis	Healthy	MTB_control	1
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	Rv-4	none-4	MTBrv4h_control	0
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	Rv-18	none-18	MTBrv18h_control	1
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	Rv-48	none-48	MTBrv48h_control	0
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	GC-4	none-4	MTBgc4h_control	0
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	GC-18	none-18	MTBgc18h_control	0
GSE67427	./data/metadata/metadata_GSE67427.tsv	./data/expression_matrices/GSE67427.tsv	title	GC-48	none-48	MTBgc48h_control	0
GSE110564	./data/metadata/metadata_GSE110564.tsv	./data/expression_matrices/GSE110564.tsv	title	Infected	Uninfected	MTB_control	1
GSE193777	./data/metadata/metadata_GSE193777.tsv	./data/expression_matrices/GSE193777.tsv	title	Active TB	controls_baseline	MTB_control	0
